time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],duV[unit=""]
2012-01-10T06:00:00Z,44.2081,86.1061,9.640646021580324E-5
2012-01-10T09:00:00Z,44.2081,86.1061,2.9394028388196602E-5
2012-01-10T12:00:00Z,44.2081,86.1061,2.5609249860281125E-5
2012-01-10T15:00:00Z,44.2081,86.1061,7.87993412814103E-5
2012-01-10T18:00:00Z,44.2081,86.1061,1.1099655966972932E-4
2012-01-10T21:00:00Z,44.2081,86.1061,1.1392432497814298E-4
2012-01-11T00:00:00Z,44.2081,86.1061,9.528952796244994E-5
2012-01-11T03:00:00Z,44.2081,86.1061,1.202318089781329E-4
2012-01-11T06:00:00Z,44.2081,86.1061,1.320490991929546E-4
2012-01-11T09:00:00Z,44.2081,86.1061,1.4838288188911974E-4
2012-01-11T12:00:00Z,44.2081,86.1061,1.7173004744108766E-4
2012-01-11T15:00:00Z,44.2081,86.1061,1.8741867097560316E-4
2012-01-11T18:00:00Z,44.2081,86.1061,1.6454822616651654E-4
2012-01-11T21:00:00Z,44.2081,86.1061,1.0867478704312816E-4
2012-01-12T00:00:00Z,44.2081,86.1061,4.244220326654613E-5
2012-01-12T03:00:00Z,44.2081,86.1061,1.7993022993323393E-5
2012-01-12T06:00:00Z,44.2081,86.1061,-3.809493864537217E-5
2012-01-12T09:00:00Z,44.2081,86.1061,-7.186808215919882E-5
2012-01-12T12:00:00Z,44.2081,86.1061,-6.884994945721701E-5
2012-01-12T15:00:00Z,44.2081,86.1061,-1.2880626854894217E-5
2012-01-12T18:00:00Z,44.2081,86.1061,4.684694067691453E-5
2012-01-12T21:00:00Z,44.2081,86.1061,7.768093200866133E-5
2012-01-13T00:00:00Z,44.2081,86.1061,7.600695971632376E-5
2012-01-13T03:00:00Z,44.2081,86.1061,8.848057041177526E-5
2012-01-13T06:00:00Z,44.2081,86.1061,9.323089761892334E-5
2012-01-13T09:00:00Z,44.2081,86.1061,8.492069900967181E-5
2012-01-13T12:00:00Z,44.2081,86.1061,6.063319233362563E-5
2012-01-13T15:00:00Z,44.2081,86.1061,2.1468777049449272E-5
2012-01-13T18:00:00Z,44.2081,86.1061,-1.780771890480537E-5
2012-01-13T21:00:00Z,44.2081,86.1061,-5.105493983137421E-5
2012-01-14T00:00:00Z,44.2081,86.1061,-1.1908322630915791E-4
2012-01-14T03:00:00Z,44.2081,86.1061,-1.8270495638716966E-4
2012-01-14T06:00:00Z,44.2081,86.1061,-2.596055273897946E-4
2012-01-14T09:00:00Z,44.2081,86.1061,-3.124374197795987E-4
2012-01-14T12:00:00Z,44.2081,86.1061,-3.1891855178400874E-4
2012-01-14T15:00:00Z,44.2081,86.1061,-2.877881343010813E-4
2012-01-14T18:00:00Z,44.2081,86.1061,-2.886657603085041E-4
2012-01-14T21:00:00Z,44.2081,86.1061,-3.23218759149313E-4
2012-01-15T00:00:00Z,44.2081,86.1061,-3.511749382596463E-4
2012-01-15T03:00:00Z,44.2081,86.1061,-4.025589150842279E-4
2012-01-15T06:00:00Z,44.2081,86.1061,-4.713017260655761E-4
2012-01-15T09:00:00Z,44.2081,86.1061,-4.7991544124670327E-4
2012-01-15T12:00:00Z,44.2081,86.1061,-4.342122410889715E-4
2012-01-15T15:00:00Z,44.2081,86.1061,-4.166570142842829E-4
2012-01-15T18:00:00Z,44.2081,86.1061,-4.1615948430262506E-4
2012-01-15T21:00:00Z,44.2081,86.1061,-4.0974057628773153E-4
2012-01-16T00:00:00Z,44.2081,86.1061,-3.836872929241508E-4
2012-01-16T03:00:00Z,44.2081,86.1061,-3.774836368393153E-4
2012-01-16T06:00:00Z,44.2081,86.1061,-4.000680346507579E-4
2012-01-16T09:00:00Z,44.2081,86.1061,-3.966445510741323E-4
2012-01-16T12:00:00Z,44.2081,86.1061,-3.4223380498588085E-4
2012-01-16T15:00:00Z,44.2081,86.1061,-2.8591990121640265E-4
2012-01-16T18:00:00Z,44.2081,86.1061,-2.1272445155773312E-4
2012-01-16T21:00:00Z,44.2081,86.1061,-6.941844912944362E-5
2012-01-17T00:00:00Z,44.2081,86.1061,8.425828855251893E-5
2012-01-17T03:00:00Z,44.2081,86.1061,1.6726533067412674E-4
2012-01-17T06:00:00Z,44.2081,86.1061,1.9751046784222126E-4
2012-01-17T09:00:00Z,44.2081,86.1061,1.8917025590781122E-4
2012-01-17T12:00:00Z,44.2081,86.1061,1.634927320992574E-4
2012-01-17T15:00:00Z,44.2081,86.1061,1.582211843924597E-4
2012-01-17T18:00:00Z,44.2081,86.1061,1.5318140503950417E-4
2012-01-17T21:00:00Z,44.2081,86.1061,1.822126068873331E-4
2012-01-18T00:00:00Z,44.2081,86.1061,2.0973313075955957E-4
2012-01-18T03:00:00Z,44.2081,86.1061,2.0184426102787256E-4
2012-01-18T06:00:00Z,44.2081,86.1061,1.9021163461729884E-4
2012-01-18T09:00:00Z,44.2081,86.1061,1.600532850716263E-4
2012-01-18T12:00:00Z,44.2081,86.1061,1.2840214185416698E-4
